id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
257,812,WOODLEIGH GARDENS,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
258,812,WULAGI,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
24056,813,KARAMA,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
259,813,SANDERSON,NT,130.916098000000005,-12.404778000000000,5,4543.117319344642056
260,814,NIGHTCLIFF,NT,130.866242000000000,-12.381805999999999,5,2224.694782830887107
261,815,CHARLES DARWIN UNIVERSITY,NT,130.869000000000000,-12.371800000000000,5,1909.636505333046671
262,820,BAGOT,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
263,820,BAYVIEW,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
264,820,CHARLES DARWIN,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
265,820,COONAWARRA,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
266,820,CULLEN BAY,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
19978,820,DARWIN DC,NT,130.866459300000002,-12.425595599999999,5,5843.740275421987462
268,820,DARWIN INTERNATIONAL AIRPORT,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
269,820,DARWIN MC,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
270,820,EAST POINT,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
19979,820,EATON,NT,130.880692000000010,-12.412387100000000,5,4025.861928865352183
271,820,FANNIE BAY,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
272,820,LARRAKEYAH,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
273,820,LUDMILLA,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
274,820,PARAP,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
275,820,RAAF BASE DARWIN,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
276,820,STUART PARK,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
277,820,THE GARDENS,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
278,820,THE NARROWS,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
279,820,WINNELLIE,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
280,820,WOOLNER,NT,130.873314999999991,-12.428017000000001,5,5876.824576092204552
281,821,WINNELLIE,NT,136.947050999999988,-13.643283000000000,5,672255.254844153299928
282,822,ACACIA HILLS,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
19980,822,ANGURUGU,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
19981,822,ANINDILYAKWA,NT,130.625429900000000,-11.758419750000000,5,74008.934737713454524
